code,nom_de_l_etablissement,nb_mentions_ab_g,nb_mentions_b_g,nb_mentions_tb_g,nombre_eleves_segpa,nombre_eleves_ulis
0740911N,COLLEGE G ANTHONIOZ DE GAULLE,38,38,23,0,26
0380046U,COLLEGE FRANCOIS AUGUSTE RAVIER,30,33,43,0,14
0771912K,COLLEGE JEAN DES BARRES,31,33,24,48,13
0141554N,COLLEGE DUNOIS,25,25,19,0,0
0440192V,COLLEGE PRIVE ST MICHEL,22,16,22,0,0
0510028D,COLLEGE PROFESSEUR NICAISE,14,17,14,0,0
0941040V,COLLEGE EMILE ZOLA,28,17,14,0,0
0061175V,COLLEGE ALBERT CAMUS,57,43,30,0,0
0270022C,COLLEGE NAVARRE,30,10,35,0,12
0752249M,COLLEGE JULES ROMAINS,28,34,98,0,11
0921541A,COLLEGE PASTEUR,41,36,36,61,0
0430012E,COLLEGE ROBERT LOUIS STEVENSON,6,7,15,0,0
0450937Z,COLLEGE ROBERT SCHUMAN,38,45,53,59,12
0340021N,COLLEGE JULES FERRY,45,15,27,64,10
0762199C,COLLEGE MAURICE MAETERLINCK,15,15,22,0,0
0623023Z,COLLEGE DU CARAQUET,28,28,33,43,16
0921354X,COLLEGE GEORGE SAND,24,18,64,0,0
7200028T,COLLEGE MOLTIFAO,8,11,8,0,0
0251372F,COLLEGE EDGAR FAURE,43,41,35,0,25
0342051V,COLLEGE VINCENT BADIE,33,38,49,0,12
0640151S,COLLEGE PRIVE GROUPE SCOLAIRE ST VINCENT,21,15,11,0,0
0800003U,COLLEGE EDMEE JARLAUD,20,13,18,0,0
0921394R,COLLEGE ANDRE DOUCET,25,16,15,43,12
0622098U,COLLEGE EMILE ZOLA,25,11,33,0,0
0570010B,COLLEGE VICTOR DEMANGE,18,36,46,40,13
0622417R,COLLEGE MICHELET,25,15,18,0,0
0370993D,COLLEGE VAL DE L INDRE,34,28,41,0,0
0752536Z,COLLEGE VOLTAIRE,14,18,50,0,0
0752555V,COLLEGE HENRI BERGSON,19,17,26,0,11
0850073T,COLLEGE PRIVE STE MARIE,28,26,16,0,0
0595337F,COLLEGE JEAN ROSTAND,30,24,29,50,18
0930959M,COLLEGE PRIVE JEAN-BAPTISTE DE LA SALLE,51,60,59,0,9
0390022M,COLLEGE ARISTIDE BRIAND,18,34,34,0,12
0781632A,COLLEGE SAINT-SIMON,17,33,54,0,0
9720514B,COLLEGE ISIDORE PELAGE,7,7,16,0,0
0382583B,COLLEGE PRIVE ROBIN,37,69,115,0,14
0360719L,COLLEGE LES MENIGOUTTES,11,12,19,34,12
0951921X,COLLEGE MICHEL DE MONTAIGNE,32,38,22,0,0
0950723V,COLLEGE JEAN LURCAT,50,31,21,0,13
0332340P,COLLEGE MAX LINDER,31,45,66,0,0
0640168K,COLLEGE PRIVE ETCHECOPAR,4,14,13,0,0
0312729Y,COLLEGE GERMAINE TILLION,30,59,33,0,13
0601177D,COLLEGE JEAN-JACQUES ROUSSEAU,49,27,30,60,13
0721224P,COLLEGE LE MARIN,16,15,13,0,0
0623571V,COLLEGE PRIVE HAFFREINGUE,13,22,53,0,0
0941092B,COLLEGE ELSA TRIOLET,19,19,12,0,0
0771070V,COLLEGE FREDERIC CHOPIN,21,19,7,0,0
0593159N,COLLEGE PRIVE SACRE COEUR,13,23,11,0,17
0572927X,COLLEGE PRIVE JEAN XXIII,54,60,98,0,0
0601406C,COLLEGE COMPERE MOREL,25,21,32,0,12
0380067S,COLLEGE CONDORCET,19,20,16,0,0
0360721N,COLLEGE HONORE DE BALZAC,11,20,16,49,13
0300141R,COLLEGE CONDORCET,29,19,11,93,11
0360543V,COLLEGE COLBERT,18,11,26,0,0
0350044H,COLLEGE CHATEAUBRIAND,18,9,18,0,12
0596873A,COLLEGE SIMONE VEIL,17,38,82,0,0
0610800N,COLLEGE JACQUES BREL,19,16,9,0,7
0771563F,COLLEGE EUGENE DELACROIX,34,50,56,0,0
9740039Z,COLLEGE ALBERT LOUGNON,31,62,51,0,14
0921940J,COLLEGE PAUL ELUARD,20,25,15,0,9
0881386D,COLLEGE DU PERVIS,12,9,10,0,0
0681318N,COLLEGE MATHIAS GRUNEWALD,28,30,38,99,10
0771337K,COLLEGE ELSA TRIOLET,44,24,37,0,0
0490878N,COLLEGE PRIVE ST JOSEPH,35,44,18,0,0
0131265E,COLLEGE JEAN MOULIN,16,15,4,0,0
0922482Y,COLLEGE PRIVE HAUTEFEUILLE,5,17,17,0,0
0440200D,COLLEGE PRIVE NOTRE DAME,32,80,58,0,12
0681930D,COLLEGE IRENE JOLIOT CURIE,21,28,23,0,0
0370767H,COLLEGE PABLO NERUDA,16,7,21,56,12
0780184B,COLLEGE JEAN RACINE,30,30,85,0,0
0752533W,COLLEGE JULES FERRY,15,17,51,0,11
9720019N,COLLEGE PAUL SYMPHOR,15,12,9,0,0
0710039G,COLLEGE JULES FERRY,7,24,23,0,0
0760136K,COLLEGE GUSTAVE FLAUBERT,31,40,33,0,0
0691674V,COLLEGE LES PIERRES DOREES,26,30,45,0,13
0560108N,COLLEGE PRIVE SACRE COEUR,43,64,65,59,22
0900013A,COLLEGE MICHEL COLUCCI,13,19,16,0,0
0240015L,COLLEGE PLAISANCE,9,13,13,0,0
0911039K,COLLEGE PAUL ELUARD,61,32,39,0,10
0400038Z,COLLEGE CAP DE GASCOGNE,19,29,32,0,8
0340024S,COLLEGE VOLTAIRE,7,18,13,0,0
0560127J,COLLEGE PRIVE ST MICHEL,18,19,17,0,0
0950045H,COLLEGE EVARISTE GALOIS,16,13,18,59,12
0751793S,COLLEGE MAURICE UTRILLO,14,15,22,0,0
0783339F,COLLEGE PRIVE SAINTE-ANNE,14,29,76,0,0
0692159X,COLLEGE PAUL-EMILE VICTOR,29,29,17,55,0
0592905M,COLLEGE PRIVE SAINTE MARIE,20,10,9,43,0
0880100F,COLLEGE PRIVE NOTRE DAME DE LA PROVIDENCE,2,6,11,0,13
0761953K,COLLEGE GUILLAUME LE CONQUERANT,21,34,29,0,0
0942188T,COLLEGE FRANCOISE GIROUD,29,30,39,0,11
0170389F,COLLEGE EMILE COMBES,27,22,27,56,11
0851655M,COLLEGE JACQUES LAURENT,15,20,27,0,0
0580035Y,COLLEGE LES GUILLERAULTS,8,15,10,0,0
0220081U,COLLEGE ROGER VERCEL,17,25,34,105,0
0730901H,COLLEGE COTE ROUSSE,24,15,17,0,0
9740734E,COLLEGE FRANCOIS MAHE DE LA BOURDONNAI,22,15,8,65,18
0690604G,COLLEGE PRIVE NOTRE DAME DE BELLECOMBE,7,32,41,0,12
0672301M,COLLEGE PRIVE COLLEGE EPISCOPAL ST ETIENNE,32,43,111,0,0
0594409X,COLLEGE JEAN ZAY,17,16,7,0,0
0940808T,COLLEGE PRIVE NOTRE DAME DES MISSIONS,4,35,141,0,0
0511173Y,COLLEGE PRIVE NOTRE-DAME ST VICTOR,25,47,37,0,0
0171211Z,COLLEGE ANDRE MALRAUX,28,38,49,0,8
0310084Y,COLLEGE ANTONIN PERBOSC,36,51,33,51,17
0880098D,COLLEGE PRIVE SAINTE MARIE,13,17,41,0,0
0750550R,COLLEGE LUCIE FAURE,8,16,23,0,0
0594168K,COLLEGE JEAN ZAY,11,14,10,0,0
0351790F,COLLEGE MARTIN LUTHER KING,33,47,46,0,0
0040535K,COLLEGE ANDRE AILHAUD,20,23,28,0,16
0290260A,COLLEGE PRIVE ST BLAISE,13,24,37,0,0
0671984T,COLLEGE OTFRIED,23,27,59,56,27
0911127F,COLLEGE MONDETOUR,35,18,28,51,0
0780575B,COLLEGE PAUL BERT,24,37,53,0,0
0830147J,COLLEGE PRIVE INSTITUTION ST JOSEPH,11,11,4,0,0
0820067C,COLLEGE THEODORE DESPEYROUS,14,28,32,0,27
0941679P,COLLEGE ALBERT CRON,13,18,15,0,0
0592751V,COLLEGE FELICIEN JOLY,19,19,15,0,0
0470012H,COLLEGE JEAN ROSTAND,14,15,16,0,0
0311721C,COLLEGE ALAIN SAVARY,37,50,53,0,15
0020029W,COLLEGE ALEXANDRE DUMAS,13,17,16,0,0
0291590W,COLLEGE JEAN MOULIN,23,27,34,0,10
0133510V,COLLEGE UBELKA,39,40,46,0,12
0910060W,COLLEGE FELIX ESCLANGON,24,15,19,0,0
0530770Z,COLLEGE PRIVE ST JOSEPH,29,25,31,0,13
0720040C,COLLEGE AMBROISE PARE,22,32,32,0,0
9730483M,COLLEGE JOSEPH HO TEN YOU,19,14,8,0,18
0721086P,COLLEGE WILBUR WRIGHT,22,14,27,0,12
9720008B,COLLEGE DU CARBET,12,18,14,0,0
0772548B,COLLEGE LES BLES D'OR,19,31,46,0,0
0840716X,COLLEGE VALLIS AERIA,24,25,12,50,0
0932334G,COLLEGE LUCIE AUBRAC,18,23,10,0,0
